Date,Log_Return,ATR,Bollinger_High,Bollinger_Low,RSI,MACD,MACD_Signal,Stoch_K,Stoch_D,SMA_10,SMA_50,EMA_10,EMA_50,On_Balance_Volume,Actual_Target,Predicted_Target,Prediction_Probability,Adj_Close,Daily_Return,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Buy_Hold_Return
2023-04-13,0.03353475195031963,3.2097845636811266,164.95832191878716,151.87652762955267,63.2827301025789,2.9084819043353605,3.1871398646117926,88.21355482721845,56.844920535303764,161.11237487792968,152.4427474975586,160.01178354530467,152.6263853349309,18252192700,0,0,0.5,163.04554748535156,0.0341033802111379,0.0,-0.0424970603806043,0.04599463853685015
2023-04-14,-0.0021161592257764894,3.1563736151046444,165.26060185661385,152.49603571662834,62.402778468555915,2.935246901445396,3.1367612719785134,84.99089846858094,70.38075255177984,161.39304809570314,152.83670623779298,160.5007105294325,153.0214636338751,18202806200,1,1,0.6,162.7008819580078,-0.0021139217394128273,-0.0021139217394128273,-0.04452114666021745,0.04378348773113783
2023-04-17,0.00012088066219049922,3.0265858912157677,165.28989605413307,153.47420001520288,62.43487944210514,2.9243355248480043,3.094276122552412,85.17480160503763,86.12641830027896,161.42554321289063,153.12505798339845,160.90431780355556,153.40181998302154,18244322400,1,1,0.55,162.72055053710938,0.00012088796855214134,0.00012088796855214134,-0.04440564076264264,0.043909668596577855
2023-04-18,0.00747681702698242,2.963752440586681,165.6971413420523,153.9601844025766,64.4636401606332,2.979877942829006,3.071396486607731,88.33744311235792,86.16771439532545,161.45509033203126,153.36546173095704,161.45657673806534,153.815150255976,18294245400,1,1,0.52,163.94174194335938,0.007504838216310539,0.007504838216310539,-0.03723405969614735,0.05174404177183756
2023-04-19,0.006944039830227995,2.9363571898045384,166.3656114710231,154.11403635612533,66.2973136383134,3.0805653686815333,3.073230263022492,93.67541054079803,89.06255175273115,161.6520523071289,153.68318817138672,162.11613036825372,154.25707070492209,18341965600,0,0,0.43,165.08412170410156,0.006968205578399056,0.0,-0.03723405969614735,0.05907281047076007
2023-04-20,-0.0058635639045853845,2.889111257200226,166.60363907053863,154.7446122722348,63.32435835326297,3.0473534333904695,3.0680548970960877,81.98046358392645,87.99777241236075,161.93666076660156,153.92418609619142,162.48028353372035,154.64381196270242,18289509200,0,0,0.44,164.1189727783203,-0.005846406764129619,-0.0,-0.03723405969614735,0.05288104002791805
2023-04-21,-0.009829100171951398,2.834688252721377,166.63250299760762,155.31549810102518,58.61630702946354,2.858551689096487,3.026154255496168,62.52937721812225,79.39508378094887,161.97211151123048,154.18676849365235,162.48636523852687,154.95243631358295,18231171900,1,1,0.55,162.51373291015625,-0.009780952445591407,-0.009780952445591407,-0.04665082757449446,0.0425828606445402
2023-04-24,0.001876741175716239,2.75249877788286,166.74273149948215,155.7055518867483,59.23700913652796,2.702407034282885,2.9614048112535114,66.2285614931828,70.24613409841045,162.2970962524414,154.47610595703125,162.5468471047819,155.26092961512595,18273121500,0,1,0.61,162.8190155029297,0.0018785033566499632,0.0018785033566499632,-0.044859957954033636,0.0445413560478467
2023-04-25,-0.009480526350128976,2.737378672393988,166.43844446058816,156.55050054673606,54.78383593786204,2.426719701194571,2.854467789241723,47.61264358694018,58.79019409941503,162.5895782470703,154.72742919921876,162.31700210117808,155.49707745708028,18224407400,0,0,0.48,161.28269958496094,-0.009435727843109976,-0.0,-0.044859957954033636,0.03468534809130608
2023-04-26,-6.0835414063571797e-05,2.716303822303298,165.83341365213565,157.7572525465948,54.75552595451548,2.182287750646566,2.7200317815226915,47.49375642300436,53.7783205010424,162.95001525878905,154.9226187133789,162.12716320707185,155.7235798385122,18178908600,1,0,0.48,161.27288818359375,-6.083356362729386e-05,-0.0,-0.044859957954033636,0.034622404494348835
2023-04-27,0.02799953080006481,2.859931554560595,166.24923630186495,158.0938255267483,64.08441770226894,2.331218225793009,2.642269070376755,98.29163264758093,64.46601088584178,163.2306869506836,155.2221987915039,162.80445433384003,156.12078315481747,18243810900,1,0,0.46,165.85226440429688,0.028395201898349764,0.0,-0.044859957954033636,0.06400071655852191
